gender,example,example (animate),dictionary form,nominative singular,nominative singular example,nominative singular example sentence,nominative singular example translation,genitive singular,genitive singular example,genitive singular example sentence,genitive singular example translation,dative singular,dative singular example,dative singular example sentence,dative singular example translation,accusative singular,accusative singular example,accusative singular example sentence,accusative singular example translation,accusative singular (animate),accusative singular (animate) example,accusative singular (animate) example sentence,accusative singular (animate) example translation,instrumental singular,instrumental singular example,instrumental singular example sentence,instrumental singular example translation,prepositional singular,prepositional singular example,prepositional singular example sentence,prepositional singular example translation,locative singular,locative singular example,locative singular example sentence,locative singular example translation,nominative plural,nominative plural example,nominative plural example sentence,nominative plural example translation,genitive plural,genitive plural example,genitive plural example sentence,genitive plural example translation,dative plural,dative plural example,dative plural example sentence,dative plural example translation,accusative plural,accusative plural example,accusative plural example sentence,accusative plural example translation,accusative plural (animate),accusative plural (animate) example,accusative plural (animate) example sentence,accusative plural (animate) example translation,instrumental plural,instrumental plural example,instrumental plural example sentence,instrumental plural example translation,prepositional plural,prepositional plural example,prepositional plural example sentence,prepositional plural example translation
masculine,вы́игрыш,вра́ч,[жшчщ],[жшчщ],вы́игрыш,На ульяновцев свалился ещё один крупный вы́игрыш в лотерею,Another big win for the lottery fell on Ulyanovsk,[жшчщ]а,вы́игрыша,6 правил вы́игрыша жизни,6 rules for winning life,[жшчщ]у,вы́игрышу,"Неймар близок к вы́игрышу ""Золотого мяча""","Neymar is close to winning the ""Golden Ball""",[жшчщ],вы́игрыш,Получить вы́игрыш - тоже лотерея,Winning is also a lottery,[жшчщ]а́,врача́,Как правильно: консультация врача или у врача́ ?,How to: consult a physician or a doctor?,[жшчщ]ем,вы́игрышем,девушка с выигрышем из казино,girl with winnings from a casino,[жшчщ]е,вы́игрыше,Житель Саратовской области о вы́игрыше квартиры в лотерею,A resident of the Saratov region about winning an apartment in the lottery,,,,,[жчшщ]и,вы́игрыши,Самые крупные вы́игрыши в России,The biggest winnings in Russia,[жчшщ]ей,вы́игрышей,ТОП 10 самых крупных вы́игрышей в покере за всю историю,Top 10 largest poker winners ever,[жчшщ]ам,вы́игрышам,Налоги по вы́игрышам в лотерею: порядок и размер уплаты налогов,Taxes on winnings in the lottery: the order and amount of tax payment,[жчшщ]и,вы́игрыши,Нелегальные казино не отдают крупные вы́игрыши !,Illegal casinos do not give big winnings!,[жчшщ]ей,враче́й,Следственный комитет предложил не лишать враче́й свободы за ошибки,Investigative Committee proposed not to deprive the doctor of freedom for mistakes,[жчшщ]ами,вы́игрышами,Лучшее виртуальное казино с реальными вы́игрышами,The best virtual casino with real wins,[жчшщ]ах,вы́игрышах,О вы́игрышах в лотерею,About winning the lottery
masculine,паро́ль,ко́нь,ь,ь,паро́ль,Как придумать сложный паро́ль и не забыть его.,How to come up with a complex password and not to forget it.,я,паро́ля,Как происходит взлом пароля,How password cracking occurs,ю,паро́лю,Деньги обменом руки жертвы к паролю в темной руке хакера,The exchange of the victim’s hands to the password in the hacker’s dark hand,ь,паро́ль,Как изменить пароль ?,How to change the password ?,я,коня́,Укрощение коня́,Taming a Horse,ем (ём),паро́лем,Электронный дневник с паролем для девочек,Electronic diary with a password for girls,е,паро́ле,Заметка о пароле доктора Леско,Note on the password of Dr. Lesko,,,,,и,паро́ли,Названы худшие пароли 2018 года,Worst named passwords in 2018,ей,паро́лей,Рекомендации по улучшению паролей,Recommendations for improving passwords,ям,паро́лям,Facebook признала доступ своих сотрудников к паролям пользователей ,Facebook recognized its employees' access to user passwords,и,паро́ли,Как не забывать и не терять пароли,How not to forget and not lose passwords,ей,коне́й,Найменші породи коней,Naimenshi breed horses,ами,паро́лями,Как пользоваться паролями,Как пользоваться паролями,ях,паро́лях,Учёные рассказали о надёжных и запоминаемых паролях,Scientists talked about secure and memorable passwords
masculine,кра́й,воробе́й,й,й,кра́й,Край Света,Edge of the World ,я,кра́я,"Дама, стоящая у края леса",The lady standing at the edge of the forest,ю,кра́ю,Дорога к краю леса,Road to the edge of the forest ,й,кра́й,Путешествие в край тайны,Journey to the land of mystery,я,воробья́,поймал воробья,caught a sparrow,ем (ём),кра́ем,Розовая циновка йоги с краем,Pink yoga mat with edge,е,кра́е,Водопад Жираф. Самый большой водопад в Алтайском крае.,Giraffe Falls. The largest waterfall in the Altai region,ю,краю́,На краю,On the Edge,я,края́,Рваные края,Ragged edges,ев (ёв),краёв,Легкая ткань вдоль краёв стола,Lightweight fabric along the edges of the table,ям,края́м,Выставка «По краям».,"The exhibition ""On the edges .""",я,края́,Поиск края,Search edge ,ев (ёв),воробьёв,Кто ест воробьёв и зачем?,Who eats sparrows and why?,ами,края́ми,Джинсы с рваными краями голубые,blue jeans with torn edges ,ях,края́х,Зима в наших краях,Winter in our area
masculine,ра́нец,оте́ц,ц,ц,ра́нец,Реактивный ранец,Jetpack,ца́,ра́нца,Пять критериев безопасного школьного ранца,Five criteria for a safe schoolbag,цу́,ра́нцу,Вы просто завидуете моему реактивному ранцу,You're just jealous of my jetpack ,ц,ра́нец,Накануне днем нашли ее ранец в Центральном районе.,On the eve of the day they found her satchel in the Central District.,ца,отца́,Не смогла ослушаться отца,I could not disobey my father,цем,ра́нцем,Маленькая девочка идет в школу с ранцем и цветами.,Little girl goes to school with a satchel and flowers. ,це,ра́нце,Купите игровой набор уход за животными в ранце,Buy game set care for animals in the knapsack,,,,,ы,ра́нцы,Школьные ранцы,Schoolbags,ев,ра́нцев,Школьникам хотят снизить вес ранцев с учебниками,Schoolchildren want to reduce the weight of backpacks with textbooks,ам,ра́нцам,"Требования безопасности к учебным изданиям, портфелям и ранцам","Safety requirements for educational publications, portfolios and schoolbags",ы,ра́нцы,Калужским детям из малообеспеченных семей раздадут школьные ранцы,Kaluga children from low-income families will be given school bags,ев,отцо́в,10 фильмов про отцов,10 films about fathers,ами,ра́нцами,полеты с реактивными ранцами,flying with jetpacks,ах,ра́нцах,олёт на реактивных ранцах над Дубаем,Flight on jetpacks over Dubai
masculine,мо́ст,студе́нт,[жшчщкнгхъфвпрлдсмтб],[кнгхъфвпрлдсмтб],мо́ст,Петровский железнодорожный мост,Petrovsky Railway Bridge,[кнгхъфвпрлдсмтб]а,моста́,Петропавловская крепость с Троицкого моста,Peter and Paul Fortress from Trinity Bridge,[кнгхъфвпрлдсмтб]у,мосту́,Проезд по Крымскому мосту,Travel on the Crimean bridge,[кнгхъфвпрлдсмтб],мо́ст,Максим перешел мост и оказался в лесу.,Maxim crossed the bridge and found himself in the forest.,[кнгхъфвпрлдсмтб]а,студе́нта,За что студента могут отчислить ?,For what students can be expelled? ,[кнгхъфвпрлдсмтб]ом,мосто́м,Сельский пейзаж с мостом,Rural landscape with a bridge.,[кнгхъфвпрлдсмтб]е,мосте́,Путин воплотил в жизнь идею Николая II о мосте в Крым,Putin implemented the idea of ​​Nicholas II about the bridge to the Crimea,[кнгхъфвпрлдсмтб]у,мосту́,"На ""мосту Кличко"" снова треснуло стекло","On the ""Klitschko bridge"" the glass cracked again",[бвгдзклмнпрстфхъ]ы́,мосты́,Самые красивые мосты Москвы,The most beautiful bridges of Moscow,[бвгдзклмнпрстфхъ]о́в,мосто́в,Где лучше смотреть развод мостов в Петербурге,Where best to watch the bridges opening in St. Petersburg ,[бвгдзклмнпрстфхъ]а́м,моста́м,В Удмуртии выросли тарифы на проезд по мостам,"In Udmurtia, fares on (passage through) bridges increased ",[бвгдзклмнпрстфхъ]ы́,мосты́,В Украине будут строить мосты по европейским нормам,Ukraine will build bridges according to European standards,[бвгдзклмнпрстфхъ]о́в,студе́нтов,мем про студентов,meme about students,[бвгдзклмнпрстфхъ]а́ми,моста́ми,между старым и новым мостами,between the old and the new bridges,[бвгдзклмнпрстфхъ]а́х,моста́х,История России в мостах,The history of Russia in bridges
feminine,луна́,коро́ва,а,а,луна́,Самая большая Луна в году поднимется над Новосибирском,The biggest moon of the year will rise above Novosibirsk,ы,луны́,Карта Луны,Map of the Moon,е,луне́,Крошечный ровер отправится к Луне в 2021 году ,Tiny rover will go to the moon in 2021 ,у,луну́,Почему мы видим Солнце и Луну одновременно?,Why do we see the sun and the moon at the same time? ,у,коро́ву,Вот так надо доить корову.,That's the way to milk a cow,"ой, ою",луно́й,Неизвестное космическое тело столкнулось с Луной,Unknown space body collided with the Moon,е,луне́,Доказано: на Луне есть вода,Proved: there is water on the moon,,,,,[бвгдзлмнпрстфхцйъ]ы,лу́ны,Две Луны » появятся на небе,Two moons appear in the sky,[бвгдзлмнпрстфхцйъ],лу́н,В мире множества лун ,In the world of many moons,[бвгдзлмнпрстфхцйъ]ам,лу́нам,NASA отправит космический аппарат к лунам Юпитера,NASA will send the spacecraft to the moons of Jupiter,[бвгдзлмнпрстфхцйъ]ы,лу́ны,Можно ли увидеть луны Юпитера в зрительную трубу,Is it possible to see the moons of Jupiter in the telescope,[бвгдзлмнпрстфхцйъ],коро́в,Молния убила двух коров в Корабельном районе,Lightning killed two cows in the Korabel'nyi district,[бвгдзлмнпрстфхцйъ]ами,лу́нами,Под двумя лунами,Under Two Moons,[бвгдзлмнпрстфхцйъ]ах,лу́нах,Поиски жизни на лунах Юпитера и Сатурна,The search for life on the moons of Jupiter and Saturn
feminine,рука́,де́вушка,ка,ка,рука́,рука́,hand,ки,руки́,Бандаж для руки,Hand bandage ,ке,руке́,Рука к руке,Hand to hand,ку,ру́ку,Почему держать руку в карманах считается дурным тоном?,Why keep your hand in your pockets is considered bad form?,ку,де́вушку,Как обнять девушку?,How to hug a girl,ой,руко́й,Следи за рукой!,Watch your hand!,е,руке́,Сотовый телефон в руке,Cell phone in hand,,,,,ки,ру́ки,Почему немеют руки,Why hands go numb,к,ру́к,Человек офиса при 8 рук ,An office man with eight hands,ка́м,рука́м,Как приручить попугая волнистого к рукам,How to tame a wavy parrot to hands,ки,ру́ки,Открой руки и обними город ,Open your arms and hug the city,к,де́вушек,Как воспитывать девушек,How to educate girls,ка́ми,рука́ми,ак сделать снеговика своими руками,how to make a snowman with your own hands,ка́х,рука́х,Ходьба на руках,Walking on arms
feminine,ко́жа,ге́йша,[жшщч]а,[жшщч]а,ко́жа,Искусственная кожа,Artificial leather,[жшщч]и,ко́жи,5 продуктов для жирной кожи,5 продуктов для жирной кожи,[жшщч]е,ко́же,Почему так важно обеспечивать контакт кожа-к-коже после рождения ,Why it is so important to ensure skin-to-skin contact after birth,[жшщч]у,ко́жу,Как отбелить кожу лица в домашних условиях,How to whiten the skin at home,[жшщч]у,ге́йшу,Работала медсестрой и играла гейшу,She worked as a nurse and played a geisha.,[жшщч]ей,ко́жей,Инструменты для работы с кожей.,Tools for working with leather.,[жшщч]е,ко́же,Белые пятна на коже,White spots on the skin,,,,,[жшщч]и,ко́жи,ко́жи,skins,[жшщч],ко́ж,Черный рюкзак унисекс кож,Black unisex backpack [made of] leathers,[жшщч]ам,ко́жам,Сумка ручной работы. Кожа всем кожам,Handmade bag. All leather.,[жшщч]и,ко́жи,Ремонт и покраска кожи,Repair and dyeing leather,[жшщч],ге́йш,Фильмы про гейш список,Facts about Geishas,[жшщч]ами,ко́жами,Подставка Для Кошелька С Личими Кожами,Stand For Wallet With Liche Leathers ,[жшщч]ах,ко́жах,Немного об искусственных кожах,A little about artificial skin
feminine,неде́ля,тётя,я,я,неде́ля,1 неделя предложение,1 week offer,и,неде́ли,Товар недели,Product of the week,е,неде́ле,Как идет подготовка к Неделе туризма?,How is the preparation for the Tourism Week?,ю,неде́лю,Учёные выяснили: эффект от отпуска длится максимум одну рабочую неделю,Scientists have found out: the effect of the holidays lasts a maximum of one working week,ю,тётю,Я не люблю свою тётю,I do not like my aunt,ей (ёй),неде́лей,Календарь на 2019 год с неделей старт с понедельником,Calendar for 2019 with a week start on Monday,е,неде́ле,Семь пятниц на неделе,Seven Fridays of the Week,,,,,и,неде́ли,Недели (седмицы) перед Великим постом,Weeks (weeks) before Lent: preparatory weeks,ь,неде́ль,10 недель беременности – что происходит?,10 weeks gestation - what happens? ,ям,неде́лям,Фото развитие плода по неделям,Photo of the development of the fetus [over the] weeks,и,неде́ли,Как провести 2 недели бесплатно в европейской стране?,How to spend 2 weeks for free in a European country?,ь,тёть,Уместно красить маленьких девочек как взрослых тёть?,Is it appropriate to paint little girls like adults?,ями,неде́лями,Календарь 2018 с неделями,Calendar 2018 with weeks,ях,неде́лях,УЗИ на первых неделях беременности,Ultrasound in the first weeks of pregnancy
feminine,ста́нция,репти́лия,ия,ия,ста́нция,Станция метро «Стрелка» открылась,"The metro station ""Strelka"" opened ",ии,ста́нции,20 лет Международной космической станции,20th anniversary of the International Space Station,ии,ста́нции,Люди идут к станции метро,People go to the subway station,ию,ста́нцию,Маск хочет успеть построить станцию на Марсе,Mask wants to have time to build a station on Mars,ию,репти́лию,Рыбак в США поймал доисторическую рептилию,Fisherman in the US caught prehistoric reptile,ией (иёй),ста́нцией,Телемост с Международной космической станцией,Teleconference with the International Space Station,ии,ста́нции,В Киеве на станции метро открыли выставку необычных портретов ,An exhibition of unusual portraits was opened at a metro station in Kiev,,,,,ии,ста́нции,Новые станции метро в Москве в 2019 году,New metro stations in Moscow in 2019,ий,ста́нций,Список станций Петербургского метрополитена,List of St. Petersburg metro stations,иям,ста́нциям,Москвичей пригласили на интерактивную экскурсию по станциям метро,Muscovites were invited to an interactive tour of the metro stations,ии,ста́нции,Власти Москвы больше не планируют строить станции метро глубокого ...,Moscow authorities no longer plan to build deep metro stations,ий,репти́лий,мужчина поймал живьем двух огромных рептилий,a man caught two huge reptiles alive,иями,ста́нциями,Тоннель между станциями метро «Хорошевская» и «Шелепиха» готов,"The tunnel between the metro stations ""Khoroshevskaya"" and ""Shelepiha"" is ready",иях,ста́нциях,В Киеве на станциях метро установят туалеты,Toilets will be installed at the metro stations in Kiev
