ID,Code,Lesson,Structure,Pinyin,English Equivalent,复习,Example,Example Pinyin,Example Translation,URL
1,1.03.1,Lesson,什么,shénme ,what,,这是什么?,zhè shì shénme? ,What is this?,https://chinesezerotohero.teachable.com/courses/185499/lectures/2839923
2,1.03.1,Lesson,什么 N,shénme N ,what kind of N,,那是什么书?,nàshi shénme shū? ,What book is that?,https://chinesezerotohero.teachable.com/courses/185499/lectures/2839924
3,1.03.2,Lesson,不是,bùshì ,not to be,,我不是美国人。,wǒ bùshì Měiguórén。 ,I am not an American.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2839924
4,1.03.2,Lesson,是,shì ,to be,,她是老师。,tā shì lǎoshī。 ,She is a teacher.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2839924
5,1.03.3,Lesson,吗?,ma? ,right?,,你是老师吗?,nǐ shì lǎoshī ma? ,"You’re a teacher, right?",https://chinesezerotohero.teachable.com/courses/185499/lectures/2839920
6,1.04.1,Lesson,谁,shéi ,who,,她是谁?,tā shì shéi? ,Who is she?,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843816
7,1.04.1,Lesson,哪 M N,nǎ M N ,which N,,哪个人?,nǎ gèrén? ,Which person?,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843816
8,1.04.2,Lesson,(的),( de) ,’s,,她是我 (的) 老师。,tā shì wǒ ( de) lǎoshī。 ,She is my teacher.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843817
9,1.04.3,Lesson,N 呢?,N ne? ,what about N?,,我是中国人，你呢?,wǒ shì Zhōngguórén， nǐ ne? ,"I am Chinese, what about you?",https://chinesezerotohero.teachable.com/courses/185499/lectures/2843821
10,1.05.1,Lesson,几 M N,jǐ M N ,how many N,,你有几个汉语老师?,nǐ yǒu jǐge Hànyǔ lǎoshī? ,How many teachers do you have?,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843846
11,1.05.2,Lesson,一～九十九,yī～ jiǔ shíjiǔ ,1 ~ 99,,九十一,jiǔ shí·yī ,1 - 99,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843842
